idx,year,type,orig_cod,orig,categoria_cod,categoria,cuenta_cod,cuenta,concepto,cantidad
82,2012,expenditure-implementation,2,CER-GPS,6,Gastos Financieros,8,Amortizaciones e intereses,Déficit ejercicio 2011,0
83,2013,expenditure-budget,1,CER,1,Otros gastos de Administración,1,Inversiones – Plan de Modernización,Equipos informáticos y sofware - Modernización Sede Regional,3000
84,2013,expenditure-budget,1,CER,1,Otros gastos de Administración,1,Inversiones – Plan de Modernización,Varios (obra comunidad),4500
85,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Tributos y Contribuciones,3000
86,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Agua,500
87,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Electricidad,12000
88,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Teléfono,20000
89,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,"Comunicaciones (servidor, web, centralita - megafonía)",1500
90,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,"Reparación, conservación edificios y mobiliario",10000
91,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Comunidad Copropietarios,3700
92,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Mantenimiento equipos informáticos,13000
93,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Mantenimiento equipos oficina,20000
94,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Material de Oficina,4000
95,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Documentación técnica y suscripciones,12000
96,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Correos y envíos,11500
97,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Gastos varios e imprevistos,1000
98,2013,expenditure-budget,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Relaciones públicas CER y GPS,15000
99,2013,expenditure-budget,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Gastos viajes,25000
100,2013,expenditure-budget,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,"Reuniones, jornadas, conferencias y cursos",5000
101,2013,expenditure-budget,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Boletines,4000
102,2013,expenditure-budget,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Campañas Publicidad ,2500
103,2013,expenditure-budget,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Otros Gastos,100
104,2013,expenditure-budget,2,CER-GPS,3,Actividades del Partido,4,Actos Públicos y Políticos,Día de la Rosa,23000
105,2013,expenditure-budget,2,CER-GPS,3,Actividades del Partido,4,Actos Públicos y Políticos,Comités Regionales - CER,500
106,2013,expenditure-budget,2,CER-GPS,3,Actividades del Partido,4,Actos Públicos y Políticos,Congreso Regional (y Federal) – Conferencia Politica 2013,10000
107,2013,expenditure-budget,2,CER-GPS,3,Actividades del Partido,4,Actos Públicos y Políticos,Otros gastos vinculados a actos públicos,500
108,2013,expenditure-budget,1,CER,4,Otros gastos de Administración,5,Subvenciones a agrupaciones locales,Boletines,1000
109,2013,expenditure-budget,1,CER,4,Otros gastos de Administración,5,Subvenciones a agrupaciones locales,Extraordinarias,6000
110,2013,expenditure-budget,1,CER,4,Otros gastos de Administración,5,Subvenciones a agrupaciones locales,Extraordinaria Tudela,7200
111,2013,expenditure-budget,1,CER,4,Otros gastos de Administración,5,Subvenciones a agrupaciones locales,Juventudes Socialistas,2400
112,2013,expenditure-budget,1,CER,4,Otros gastos de Administración,5,Subvenciones a fundaciones,Otras fundaciones,0
113,2013,expenditure-budget,2,CER-GPS,4,Otros gastos de Administración,6,Trabajo con empresas externas,Asesoría Laboral,2200
114,2013,expenditure-budget,2,CER-GPS,4,Otros gastos de Administración,6,Trabajo con empresas externas,Estudios sociológicos,15000
115,2013,expenditure-budget,2,CER-GPS,4,Otros gastos de Administración,6,Trabajo con empresas externas,Trabajos realizados por otras empresas,4000
116,2013,expenditure-budget,2,CER-GPS,4,Otros gastos de Administración,6,Trabajo con empresas externas,Jurídicos y Contenciosos,1000
117,2013,expenditure-budget,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Salarios,178000
118,2013,expenditure-budget,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Colaboradores,14820
119,2013,expenditure-budget,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Gastos varios colaboradores,500
120,2013,expenditure-budget,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Seguridad Social,52800
121,2013,expenditure-budget,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Otros gastos sociales,4200
122,2013,expenditure-budget,2,CER-GPS,6,Gastos Financieros,8,Amortizaciones e intereses,Amortizaciones e intereses ,258.21
123,2013,expenditure-budget,2,CER-GPS,6,Gastos Financieros,8,Amortizaciones e intereses,Déficit ejercicio 2011,103321.79
